vol,ret
0.4901044460654182,0.07839840609769146
0.46658170199643817,0.08149925832463056
0.4433195105207926,0.08460011055156968
0.42036113647312473,0.08770096277850879
0.39775919163588314,0.0908018150054479
0.3755780303178882,0.09390266723238701
0.3538967816141839,0.09700351945932612
0.3328131609012313,0.10010437168626524
0.312448173288353,0.10320522391320434
0.292951727620813,0.10630607614014345
0.27450894579403573,0.10940692836708257
0.257346460523544,0.11250778059402168
0.24173711559779815,0.11560863282096079
0.22800012764446345,0.1187094850478999
0.21649220867215463,0.121810337274839
0.20758440942699885,0.12491118950177812
0.20129879895590994,0.12801204172871722
0.1962101966452922,0.13111289395565634
0.19205684988899968,0.13421374618259546
0.1882239532658476,0.13731459840953458
0.18462286119034865,0.14041545063647368
0.18123604227284512,0.14351630286341277
0.17799658289824613,0.1466171550903519
0.17492285627767992,0.149718007317291
0.17201913685691744,0.15281885954423013
0.16929475825242676,0.15591971177116923
0.16676002922302077,0.15902056399810832
0.16442453441136867,0.16212141622504744
0.16229666700431408,0.16522226845198656
0.16037490346782454,0.1683231206789257
0.15866273520225063,0.1714239729058648
0.15714594203185128,0.1745248251328039
0.15583415513028415,0.177625677359743
0.15473626204816185,0.18072652958668212
0.1538740130528531,0.18382738181362124
0.1532523033704314,0.18692823404056036
0.15278740536028862,0.19002908626749945
0.15243390159141207,0.19312993849443855
0.15218887346565182,0.19623079072137767
0.15205149440153157,0.1993316429483168
0.15203738465626634,0.2024324951752559
0.15213809383507743,0.20553334740219503
0.15235368195776902,0.2086341996291341
0.15268421413813726,0.21173505185607322
0.15313003175944948,0.21483590408301234
0.15366545355517008,0.21793675630995146
0.1543905444478198,0.22103760853689058
0.1553354686300431,0.22413846076382965
0.15668239759562655,0.22723931299076877
0.15846488446244547,0.2303401652177079
0.1606541205804918,0.23344101744464701
0.16325689798157825,0.23654186967158614
0.1662569791960237,0.2396427218985252
0.16962672799091522,0.24274357412546432
0.17334036873031422,0.24584442635240344
0.17767281722429232,0.24894527857934257
0.18279391767115796,0.2520461308062817
0.18878845698801794,0.2551469830332208
0.19562480767189505,0.2582478352601599
0.20403144411940838,0.261348687487099
