,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB
2017-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2017-02,0.1553445900838993,0.13522270495133357,0.12297797814851745,0.0989307449547805,0.09046756793286992,0.09335007960813123,0.07193002373560546,0.0676541499888692,0.05733544002147628,0.06025965190473474,0.04652706866978228
2017-03,0.1500017198671231,0.13509994571545444,0.12239138394518677,0.10220797706961014,0.08616992951125527,0.0946625294338098,0.07158329263675613,0.07000719643787304,0.060255113750201005,0.06403775984229053,0.043583151790439784
2017-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2017-05,0.1594885254454511,0.1464014681034262,0.12006444451117221,0.09843040408548384,0.09004093726673115,0.08310871379706487,0.06783328221674478,0.06984019154481544,0.06090959254603053,0.05931781830323804,0.04456462217984186
2017-06,0.1573460491403705,0.15030122421708156,0.1241398675701994,0.09898277593663286,0.09184191482997531,0.07667186497212727,0.06611243400414128,0.07162009476846173,0.062114094479431496,0.05949389882911061,0.04137578125246794
2017-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2017-08,0.16286745641506042,0.1374181444783098,0.1181827666188912,0.10246197518412432,0.09122790420995516,0.07735763775586418,0.06884007425590304,0.07043284516294779,0.05739395624606109,0.06353758684793172,0.050279652824951344
2017-09,0.16404417995597345,0.13524495524496272,0.11429094717726494,0.1039505781518847,0.0927679475073364,0.08862635308490453,0.06697373540880718,0.07115177311446158,0.05546278616174086,0.06214102284325248,0.045345721349411075
2017-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2017-11,0.16772890500831392,0.1394370222692822,0.12952063898567345,0.09810696297519181,0.08774701146458765,0.07736130635299464,0.07405251150228485,0.06953559348984914,0.055226647338459466,0.058219794829938255,0.04306360578342465
2017-12,0.16592896304753144,0.13604804877049193,0.13413783432733356,0.09787125913644236,0.08589290851214168,0.08436309090695283,0.06956412073065486,0.06937261305994934,0.061691567017075524,0.0539922630746054,0.04113733141682114
2018-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2018-02,0.16465029424868208,0.14557122207096623,0.1379333137989872,0.10094571792629503,0.08374689374406356,0.07891967847151628,0.06516504839964843,0.06578049079132252,0.05820303749136875,0.04850453844780099,0.05057976460934885
2018-03,0.16956487889987498,0.14117517143437194,0.14933415121359556,0.10393301055218566,0.07536325257532837,0.08033731825271422,0.06230014066472078,0.06608432898196234,0.059375974337230956,0.04533816360155078,0.047193609486464304
2018-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2018-05,0.16006368885528913,0.1342401366275516,0.12677542324104668,0.10355854813780621,0.08842658169704336,0.07959635847042401,0.06454928404019918,0.06858579090435951,0.061293813241999735,0.06124537384788566,0.05166500093639494
2018-06,0.16357212798892865,0.13956922192595678,0.12699990053032625,0.1028825807773692,0.08076218960921139,0.08665287744859711,0.06659795714541834,0.06679577763432645,0.05950637974011258,0.05684113574875464,0.04981985145099863
2018-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2018-08,0.162355967402627,0.1435222311035236,0.11836249672223818,0.09738216838250816,0.08674855176494187,0.08763903981793421,0.0745014523272702,0.06623047987599773,0.059231229379021574,0.05651815188820485,0.047508231335732766
2018-09,0.1654884716985205,0.13813574894563707,0.1285196478673122,0.10046100051689895,0.08301774346417506,0.09193054137200188,0.06928728773084292,0.06490057074844101,0.06069128154143135,0.05495415108398198,0.042613555030757116
2018-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2018-11,0.16533409562589146,0.13995622825698745,0.10593086681986279,0.10162433006680924,0.08712620270260257,0.0750352801629055,0.06804023968549452,0.07971788950003722,0.06462210482225753,0.06601607291309514,0.04659668944405653
2018-12,0.16745009267928576,0.13832191566445318,0.1088287772958277,0.1016578410633488,0.08659738186763596,0.07905690247789163,0.07032678808980965,0.08207899800334853,0.0636484011528084,0.06224970094614009,0.039783200759450306
2019-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2019-02,0.1539638466415871,0.1411767902128171,0.12851878513882853,0.09576974491342738,0.09413358872702468,0.06984594798048416,0.07380385101561476,0.06745928996911262,0.05916547481527848,0.05882200687810604,0.057340673707719066
2019-03,0.15812132707177026,0.13465719577174995,0.11688788421300869,0.10033332095209835,0.09700882741298283,0.07442962897146262,0.07451583888208392,0.06789738890007092,0.05763537909006176,0.06340739771485707,0.05510581101985353
2019-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
