,NDIF,NDIF (buy & hold),Equal weight (1/N),MV optimised (ex-ante 2014-16),MV optimised (perfect foresight),NASDAQ-100 (QQQ),S&P 500 (SPY),60/40 (SPY/AGG)
2017-01,0.07157105656599183,0.07157105656599183,0.07230113519258555,0.05976797930628787,0.04060325360475316,0.051400891304391,0.0178946508986246,0.01158817711047132
2017-02,0.031099805454703432,0.031099805454703432,0.03519154642363697,0.03208177854000542,0.05299574589920811,0.0437504189987256,0.0392912995717358,0.02615819727428252
2017-03,0.018496668602333764,0.018496668602333764,0.0141336070337523,0.010254113610864667,-0.007841091686013723,0.0202690105740128,0.0012501420871453,0.0005290027635758199
2017-04,0.04281084296350231,0.04383869643650653,0.03603536446136738,0.042657750385372575,0.04096945559748611,0.0272697448149621,0.0099260857002356,0.009583777686980599
2017-05,0.03997590420107715,0.03924344079693641,0.035558246238597914,0.05086351051129076,0.049590450881907784,0.0389733746713074,0.0141131498822193,0.01121625379203018
2017-06,-0.032411479694253564,-0.031824388128711106,-0.035497338001988996,-0.032828362337996395,-0.03806002950060327,-0.0231794092825841,0.0063745756445161,0.0037515797132301795
2017-07,0.03612451804226425,0.03585099171488144,0.03615293414499933,0.03177099767222789,0.038650605944234945,0.0406132790341289,0.0205543590257799,0.0136684052153297
2017-08,0.02653549460362358,0.029667399544961053,0.022963624954520537,0.02758871295996849,0.026631593763039994,0.0207354944144593,0.0029178015490842,0.00551611127686812
2017-09,0.017163327739184695,0.015244891283119469,0.028775825349294105,-0.004124185478411726,0.009516941018430591,-0.0029519987184573,0.020149466545599,0.00980332564556532
2017-10,0.06520461291307628,0.06721055269687563,0.05067721613144522,0.0570938583914738,0.0505935098622993,0.0460636108599876,0.0235639176368172,0.0145299728543962
2017-11,0.028015339871954682,0.02811031815457045,0.028005894717104778,0.03920649505771154,0.049898911632715495,0.019717428704383,0.0305658833542394,0.01774628542785668
2017-12,0.0008491652505943472,-0.0019223990760179948,0.00022996962714177602,-0.004627096606755442,0.00611489389511915,0.0060315515600124,0.0121281114711213,0.00917734865955906
2018-01,0.07933807250606204,0.0805174072136432,0.06025171710299897,0.042281341915910646,0.0631604189352934,0.0875705229690673,0.0563591811490351,0.029315444815429855
2018-02,-0.03715463626709373,-0.03381836745705893,-0.04506459899693695,-0.05059004285432551,-0.017397363781511632,-0.0129277534706858,-0.0363606006290551,-0.025851364650603302
2018-03,-0.016471920060216607,-0.016815740748506475,-0.011399573468125816,0.021060428907246305,-0.0004298034138707817,-0.0407887175811756,-0.0274104898146091,-0.013761632268677418
2018-04,0.02424407079047934,0.026789006658746197,0.024833012690850562,0.013381172966451426,0.033766847571845796,0.0050585659408179,0.00516821653078,-0.0006635376578027607
2018-05,0.03870021679151195,0.043864585722576725,0.031315320622915775,0.012394051195353214,0.02776025800623692,0.0567291381755108,0.0243089433874046,0.017232938406851278
2018-06,0.019640215467087333,0.020614204218402443,0.018135591183972684,0.030906760965877543,0.01924228652379805,0.0114506434795969,0.0057511506933742,0.00386120409919048
2018-07,0.06014256526355306,0.06453165607241006,0.05524638006185209,0.044675840285566815,0.03888042580416496,0.0279637783034618,0.0370462958310036,0.02211099875794768
2018-08,0.0428715720019564,0.05482438600183345,0.03483392876115293,0.032312543323877535,0.05701984592179998,0.057806767119942,0.0319203177127271,0.0214244064939787
2018-09,0.007828655677374462,0.008674745021243525,0.00908612865700573,0.0033409861886006587,0.009138596230930463,-0.0028164991694673,0.0059456239640096,0.0010883792925167196
2018-10,-0.09623141155983456,-0.10584612534760568,-0.09145761915097678,-0.06412475968442781,-0.035886517180826305,-0.0859570226101262,-0.0691045601962284,-0.04403903755993012
2018-11,0.029507896092696224,0.038738318739483635,0.022204606503741637,0.04091418969785889,0.036418806791745965,-0.002649990760565,0.0185490055540831,0.014215495890803499
2018-12,-0.09805659594663689,-0.09602049321583245,-0.10743547481410143,-0.08665487037628702,-0.0790762518964144,-0.0866068996150288,-0.0880484523447048,-0.044904070072012595
2019-01,0.06846676661271578,0.05649904054769512,0.07329298225170779,0.06905157401169938,0.03366659304170114,0.0901071653308209,0.0800658444729742,0.05168288749916828
2019-02,0.04903091160454126,0.04854174572772933,0.05283074785353291,0.05522876445792344,0.06442593338668287,0.0299122998173313,0.032415567135934,0.01899408411807196
2019-03,0.036231200313136605,0.041505678294130585,0.027055679480440846,0.054243283432037874,0.05826234025340617,0.0392454642277058,0.0181006254047257,0.0193509067453281
2019-04,0.032796197286464414,0.04204634208482209,0.019382074156323266,0.02640854193460305,0.04368773761525668,0.0549928167936084,0.0408523482573472,0.02370987149675796
2019-05,-0.05429477620797876,-0.04747109970189412,-0.060495528561786374,-0.008879185637345764,-0.01795466455467649,-0.0822516586389355,-0.063771378707745,-0.03061938239715944
2019-06,0.07468490861900995,0.07752576422251187,0.08478364278281429,0.0659416871423191,0.07373865141292191,0.0759003811108833,0.0695867942660124,0.04614644907427223
2019-07,0.010323322186976869,-0.0030136692079951,0.003663520406460621,0.004759843225132652,0.024248898777659622,0.0233480158563406,0.0151192726082234,0.00979871842298752
2019-08,-0.011857788008978663,-0.003668997257280024,-0.020844687628400447,0.052089777059233275,0.03930323283895457,-0.0189951532607418,-0.0167432314723113,0.0010851658046145407
2019-09,0.024655597559928407,0.01660490704473699,0.03310576638433813,0.030061648290948328,0.0019059443479627796,0.0091785890826199,0.0194579561113628,0.009226477262408718
2019-10,0.00918704530413299,0.015888345805616967,0.0008952432208715558,0.016781942815021055,0.029898980399942373,0.0438008089981716,0.0221046787707677,0.0140952484843521
2019-11,0.04608455590333939,0.040997243917318925,0.05002681302586264,0.025460441898920036,0.022800101528936516,0.0406939714240992,0.036198260885383,0.021580740417924196
2019-12,0.03783882397560761,0.031594501020997985,0.042691923651208066,0.024011439601483296,0.02069974415669025,0.0388636380358524,0.0290553795718753,0.017246021467433297
2020-01,0.03341341170174335,0.04041205740284344,0.018659869566660603,0.04297992247797318,0.07203314150091808,0.0303843672104162,-0.0004037019080089,0.007873893184893899
2020-02,-0.058602897206159466,-0.05876030849225572,-0.06056086486566318,-0.04946990207462836,-0.06381584107953377,-0.0605743431633002,-0.0791658549824093,-0.0411607863671555
2020-03,-0.07367688378035295,-0.04659063987031464,-0.09583352944724313,-0.005653193944577612,-0.047498566545353366,-0.0728581486230167,-0.1248713398242401,-0.07703007212281718
2020-04,0.1447685610091138,0.14181477865429032,0.14003965572665528,0.08460881419810536,0.06800709542235922,0.1497372430373142,0.1269833788292464,0.08306626656046524
2020-05,0.07291674624571126,0.057407541827196845,0.08682250524665808,0.06014999222211174,0.062193723653155994,0.0660090527344978,0.0476453799745808,0.03127764771419988
2020-06,0.02797342380337409,0.041126081943246455,0.01637009056765399,0.006415200468865323,0.008984734246021744,0.0628665025645225,0.0177342825974873,0.01327677912944426
2020-07,0.05896813923457009,0.06258585071174393,0.06027065535875347,0.09772125742267054,0.05951510268387755,0.0734652778397764,0.0588923774892995,0.04066829639118094
2020-08,0.06384889616093574,0.06571834937633092,0.056315115862077235,0.036266952926223735,0.06868288215359113,0.1094473395529618,0.0697967723290877,0.03858372749651189
2020-09,-0.06585458472598649,-0.06648741897546837,-0.06196971639203529,-0.027355393585220714,-0.026720154700507866,-0.0577861913063481,-0.0374437468165846,-0.02285560176593384
2020-10,-0.002407904636959644,-0.012717459348797512,-0.0008826031609713717,0.005572969234996096,-0.01544747154031981,-0.0304491643869574,-0.0249335075583471,-0.017193348948268537
2020-11,0.10643164019485585,0.07595731031345987,0.13136947220082407,0.0318291444759271,0.08323868760017561,0.1122576028639317,0.1087768227415688,0.07009312154781899
2020-12,0.03728804249232936,0.03593562714935361,0.04102322546343725,0.023142672082003747,0.02945886141406456,0.0490242907597726,0.0370484593385043,0.02257207548504098
2021-01,0.020654584526544947,0.017896272121592963,0.021512167039630634,0.016748568260295527,-0.020345766276464873,0.0026137556388148,-0.0101903638806611,-0.00909252304196094
2021-02,0.012611725868400196,-0.0002462693937003754,0.01314828922751657,-0.06511103617048135,-0.013503413737105023,-0.0013348864419588,0.0278053460588223,0.01061071493898938
2021-03,0.0028820000874305784,0.0029704265864936457,-0.0001840603131625495,0.03791511115400905,0.023607266546740092,0.0171674039377651,0.0453992639942237,0.0226542590904955
2021-04,0.07668147710598314,0.08144963126991098,0.06748193017337553,0.04772728136044827,0.06498038971029897,0.0590980943665968,0.0529105759573589,0.03467444182957106
2021-05,-0.0032861398425385185,-0.014533485351940207,0.005146543363948961,-0.0074395243135525705,-0.01788443148940728,-0.0120120570460237,0.0065660549825659,0.00475496565337722
2021-06,0.061531873246933946,0.06625946226120585,0.05822009653856139,0.061361875117378166,0.041769913112021696,0.062621464575947,0.0224275277801628,0.01676807763047436
2021-07,0.05337607262546646,0.05136723326357721,0.054161360145040124,0.05217462575288755,0.06587815240881778,0.0286091275946152,0.0244124243626446,0.01911377255369836
2021-08,0.038542196538439225,0.03785331376544026,0.03865517820549626,0.05508803598408476,0.03580031341041452,0.0421867485135014,0.0297597134730227,0.01705429302871794
2021-09,-0.06028218293678173,-0.0642506363296411,-0.05602114737442328,-0.05848178293341644,-0.04432749317450297,-0.0568315027955468,-0.0466054114739201,-0.03163206326581674
2021-10,0.07962896657710784,0.08579170027727956,0.07679014889569946,0.08883645257557021,0.07823498599789469,0.0786399388212024,0.0701637679173183,0.04206337064758912
2021-11,-0.010314757214216787,-0.004788516119371889,-0.007485059533293742,0.022078904371377682,0.011384014664941433,0.0199685266232649,-0.0080351981893181,-0.003737841072001739
2021-12,0.021690848252167785,0.0171668582402808,0.022017485979419008,0.04421202598549435,0.059642509538733554,0.0115234364562772,0.0462480103298879,0.02631412108214558
2022-01,-0.06689965647672716,-0.08391417141382035,-0.056559739973767564,-0.13219231225300324,-0.07593487136908415,-0.0874700989124074,-0.0527414498171091,-0.03963922709364802
2022-02,-0.023402838400794823,-0.022344851256319957,-0.024967717105298107,-0.010564246589937468,-0.014222031331744826,-0.0447598552309422,-0.029516841555865,-0.02229299593026632
2022-03,0.05483464644103021,0.05297166232925049,0.06200821414816616,0.06839237972174217,0.06169461401362145,0.0466788838591494,0.0375903836767159,0.011305651826450897
2022-04,-0.12144348599884142,-0.1294318750595126,-0.11412414364527458,-0.1011148372465593,-0.09461499289912627,-0.1359573600909311,-0.0877690979294316,-0.06788490261856205
2022-05,-0.00911900850633716,-0.017865181545190716,0.003994105668321667,-0.04211351568994019,-0.014587970428590594,-0.015866107996478,0.002257291523279,0.00439644974132372
2022-06,-0.08393266621122678,-0.07206000437517442,-0.09423041529095708,-0.023834733794494297,-0.024067144296950338,-0.0890787153338145,-0.0824604133184297,-0.055688105622464096
2022-07,0.1307849326077962,0.12679815756423063,0.1329483613577847,0.12436753736503965,0.09869975409220592,0.1255173801921139,0.0920873250468234,0.06540462903544653
2022-08,-0.04391306165073033,-0.04680065893964218,-0.03273664547706311,-0.04042697079599883,-0.036146309367916574,-0.0513220188035343,-0.0408019290156679,-0.03665032666886278
2022-09,-0.09338714749385951,-0.09743735334279217,-0.08559075101084697,-0.10115174782825011,-0.09553008779690501,-0.1053553213086201,-0.0924459286715577,-0.07204758094424049
2022-10,0.06082696834193668,0.030180933859492616,0.09083990827584071,0.02740031449058802,0.053475935836242744,0.0399986591466754,0.0812756376945216,0.04365147497912392
2022-11,0.05169586179762815,0.05679483621286336,0.04563995616311023,0.10699919296512714,0.07909514706385865,0.0554413331552894,0.0555915071749977,0.04858875633304422
2022-12,-0.07587590677593102,-0.08627051970348516,-0.0718015310755912,-0.06340670576367517,-0.06848229326392744,-0.0901365719823772,-0.0576282426213732,-0.038059030715537796
