,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB,^GSPC,^NDX,^IXIC,^DJI,^RUT,^VIX,XLK,XLC,XLY,XLF,XLRE,XLV,XLI,XLU,XLP,XLB,XLE,QQQ,SPY,AGG,TLT,GLD,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
2017-01,0.0403922908000931,0.0350052629743706,0.0981636831579693,0.0601132289805481,0.0771380817197897,0.2503905429525579,0.1011161647597087,0.0356604140663807,0.0239833007081566,0.0762083143309249,-0.0028587973320588,0.0178843581983825,0.0520496864977479,0.0430363649392315,0.0051354698461256,0.0034557790258678,-0.1460114099932162,0.035566791712255,,0.0421373631630763,0.0025807396835941,-0.0013004180554602,0.0229179939869956,0.0186434633784176,0.0125595642105973,0.0170186175781918,0.0454726205668303,-0.0321293013750177,0.051400891304391,0.0178946508986246,0.0021284664282414,0.0081426907045318,0.0541921577258459,0.0194,-0.0144,-0.0276,-0.0051,-0.0106,0.0004,-0.0092
2017-02,-0.0043634986623716,0.0301637420600369,0.0261815495357073,0.0652565622604395,-0.0178823241824027,0.045596491109467,0.0261294975081529,0.0669619918274966,0.0836061612540419,0.0957468161204679,-0.0341411866892162,0.0371981600668163,0.0417333666057679,0.0375169687340477,0.0477318819076588,0.0182550619041954,0.0775646641308527,0.0453270907676974,,0.0181540115767118,0.0527673709086209,0.0465645021893363,0.0633862897037205,0.0391293225591034,0.0526636901417725,0.0477274639468916,0.0055812222711979,-0.0208506299636637,0.0437504189987256,0.0392912995717358,0.0064585438281026,0.0158459260485621,0.031847686784806,0.0355,-0.023,-0.015,0.0045000000000000005,-0.018000000000000002,0.0004,-0.015300000000000001
2017-03,0.0293842929900145,0.0033967282384201,0.0491101206308208,0.0105754052271702,0.0646154603651161,0.0193548242006844,0.0305092683001497,-0.0200762210967563,-0.0535609523118346,0.0439274524618851,-0.0281238190151557,-0.0003891971352694,0.0198712496478945,0.0148143820615747,-0.0071601869655467,-0.0005480786743784,-0.0425696739541063,0.0222605051364901,,0.0213395419248334,-0.0295613595836577,-0.0105304363281699,-0.0048056526227282,-0.0076560185806361,-0.0013535005679221,-0.0042270773594818,0.0062187168743257,-0.0148598202969331,0.0202690105740128,0.0012501420871453,-0.0005527062217784,-0.0065512578921168,-0.0042774647477253,0.0017000000000000001,0.0075,-0.0333,0.0063,-0.0095,0.0003,-0.0096
2017-04,0.0394772728923553,0.0904931311716297,0.0433708715886678,0.0264429265762156,0.0432851743593749,0.083333348654121,0.0105326029917824,0.0404301288225921,0.0586197257914926,0.0309544017925922,-0.0705505755657824,0.0090912087488546,0.0270959479670134,0.0229830174398071,0.0134194502630493,0.0104695864880626,-0.1253031693673947,0.0200713909073007,,0.0239908672474933,-0.0084281585112924,0.0015823863540342,0.0153307310442538,0.0196743587032268,0.0076009526222367,0.0109932616273191,0.0125929590599236,-0.0294707492183984,0.0272697448149621,0.0099260857002356,0.0090703156670981,0.0157317955300688,0.0172674814798248,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.005
2017-05,0.0260054713665993,0.0676781700526552,0.0752764613149639,0.0458120421372278,0.0607772566373843,-0.0405712174072051,0.0135929750929622,0.0664800764185056,0.0605416793924638,0.0430629952193342,-0.0344400240528637,0.0115762512463286,0.0367634860795329,0.024953685780273,0.0032540098480247,-0.0215791518422205,-0.0378927780939064,0.039536484671895,,0.0109927417944708,-0.0118996375595328,0.0066350288832364,0.0076817879916708,0.0177871474048849,0.0413926274186906,0.0264590784401619,0.0001883404302567,-0.0353772690736331,0.0389733746713074,0.0141131498822193,0.0068709096567465,0.0188792860983495,-0.0012419798017191,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.015
2017-06,-0.0130298799985583,-0.058160663972348,-0.0267639398764241,-0.0152263761061052,-0.0268701114515019,-0.0216509020663803,0.0204133702374789,-0.0092619805276177,-0.113617593376385,-0.0682690247131337,-0.0538868712305852,0.0048137752078125,-0.0245093780402653,-0.0093732209419634,0.0162304794648855,0.0329511722299631,0.0739673841546781,-0.028118354085056,,-0.0125934934764563,0.0651334286259204,0.0191411913161667,0.0456715344621008,0.0135125970825431,-0.0270883738665403,-0.0225349324603801,0.0185023028884494,-0.0011169166735611,-0.0231794092825841,0.0063745756445161,-0.0001829141836987,0.0079186101520467,-0.0215553477392811,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.0011
2017-07,0.0546935298926496,0.0170164908417926,0.0204338508658337,0.0616336465530924,0.0502607586838406,0.0019018142085354,0.0189555537198744,0.0425313964114955,-0.0088785791001857,0.0972141925063625,0.0419196210117016,0.0193488260011018,0.0413340652035487,0.0338250800360699,0.0253628872937736,0.006909923551672,-0.0822898077979507,0.0445906509600431,,0.0193013553121215,0.0170246853316728,0.0121120105850924,0.0082027163199915,0.0029362982640019,0.0242493423314531,0.0069167015543918,0.0154250112135907,0.0261859275070193,0.0406132790341289,0.0205543590257799,0.0033394744996544,-0.0065832383939586,0.0231317016995864,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.016399999999999998
2017-08,0.0339522524303346,0.0103014238192278,-0.0072688485312847,0.0414493568538127,0.0438647221210057,0.1760712948092986,-0.0012951417257267,0.0370136324466172,-0.0080049826057242,0.0039721176733638,-0.0741982118365821,0.0005464330198532,0.0184122350434063,0.012687226702664,0.0026029034141181,-0.0139354625843284,0.0321637345364873,0.029216233075231,,-0.0186077765647547,-0.0155439724620739,0.0101258076508745,0.0175240321598599,0.0021960360915169,0.032882268735809,-0.0110269583978941,0.0078692967599225,-0.0547881198758555,0.0207354944144593,0.0029178015490842,0.009413575868544,0.0340874815073706,0.0419875751124159,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.0338
2017-09,-0.0037445394000381,0.0193459960235204,-0.0196307920690396,0.0166152718227219,-0.0472023384650402,-0.0257262942628361,0.086248871854941,-0.0263106135614706,0.0481687878916574,0.1754534005298789,0.1071259703790863,0.0193029785621676,-0.0015529995019019,0.010468714016881,0.020821403333699,0.0608988630525881,-0.1019829941590826,0.0081783804448456,,0.0082390113520967,0.0513299513390532,-0.0136383575962703,0.0091136612742788,0.0418441155213595,-0.0275673980717919,-0.0071502141760628,0.0369704599121796,0.1018232875844133,-0.0029519987184573,0.020149466545599,-0.0057158857044852,-0.0232295113782057,-0.0336989180897602,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,-0.0134
2017-10,0.1166600208357198,0.060921138086448,0.1497165176249049,0.0450398952006669,0.0385391264601706,0.0300702548523945,0.1268725264290351,0.058137642100511,-0.0195386749891551,0.0335999002617184,-0.0825689694165167,0.0221881350661512,0.0450320710955423,0.0356698567002957,0.0433897117755226,0.0078277263190216,0.0704521619525473,0.0651439160178468,,0.0212033127739139,0.0286156305158522,0.0080646110869426,-0.007585652175607,0.0074651909992149,0.039019978478918,-0.016487254567325,0.0387324630880578,-0.0083235826490131,0.0460636108599876,0.0235639176368172,0.0009790556807647,-0.0003856797930253,-0.0074848136897867,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.0421
