,model,n,r2,r2adj,alpha_m,alpha_a,alpha_t,alpha_p,Mkt-RF,Mkt-RF_t,Mkt-RF_p,SMB,SMB_t,SMB_p,HML,HML_t,HML_p,RMW,RMW_t,RMW_p,CMA,CMA_t,CMA_p,MOM,MOM_t,MOM_p
CAPM,CAPM,72,0.8733578977272313,0.8715487248376204,0.005798560287281191,0.0718453188607382,2.188370578917144,0.02864261957118032,1.0050286418576608,15.746887847371633,7.214549166467256e-56,,,,,,,,,,,,,,,
FF3,FF3,72,0.9186826703012663,0.9150951410498516,0.004802862275479666,0.0591814406044493,2.827719609925282,0.004688084788183695,1.0402029185789732,25.65527238034123,3.692427098613076e-145,-0.16400170649286436,-2.303336707951488,0.021259905815585914,-0.23585563532650788,-5.612885316111147,1.9898048333059757e-08,,,,,,,,,
FF5,FF5,72,0.9203676015647408,0.9143348441075243,0.0053648907240175766,0.06631268851980221,3.0577666500208793,0.002229931481587301,1.0498339466465216,29.156110167924528,6.989461755130995e-187,-0.21813658443949635,-3.010590252433663,0.0026074044640021017,-0.19131731240501643,-3.0466984118933658,0.002313697233851448,-0.11067113668075146,-1.2987491159148403,0.19403004232230026,-0.05328714457922118,-0.6420137276930146,0.520864269763323,,,
FF6,FF6,72,0.9205117047782774,0.9131743236808876,0.005248728438019518,0.06483517558973695,2.952418301988535,0.0031529549122822206,1.054291999829422,25.878866451643223,1.1519297740736093e-147,-0.20902049877072648,-2.5033124523294115,0.012303687034703591,-0.18388799583301274,-2.7636611161142954,0.0057156866723724565,-0.1041686910610071,-1.2319785844274636,0.21795708401356373,-0.060481982868777075,-0.7156534450292541,0.474205363923204,0.02223009047064156,0.29102855908819675,0.7710294774090216
