,months,cum_return,cagr,vol,best,worst,mean_m,median_m,skew,kurt,jb_p,hit,n_pos,n_neg,avg_pos,avg_neg,downside_dev,max_dd,sharpe,sortino,calmar,var95_hist,cvar95_hist,var99_hist,cvar99_hist,var95_param,terminal,var95_cf,beta,corr,treynor,te,info_ratio,m2,up_capture,down_capture
NDIF,72.0,1.791584372180591,0.18661124525031014,0.1905913798560037,0.1447685610091138,-0.12144348599884142,0.015859619658638094,0.027254459203498838,-0.4718476012486078,0.06700875305982645,0.2777518658659648,0.6944444444444444,50.0,22.0,0.04561540690048758,-0.05176716952738347,0.11897411671475266,-0.24864347943266063,0.9411868611573683,1.5077405701645408,0.7505173498863038,-0.0881871827884115,-0.1022796602497931,-0.10483879406177621,-0.12144348599884142,-0.07463856926627513,279158437.2180591,-0.08171357285270651,1.0383017959073995,0.9310728457331199,0.17276489675485635,0.06984153959016706,0.97897122927737,0.1717900373976661,1.2048750521577458,0.9721213400265258
NDIF (buy & hold),72.0,1.6087177108086053,0.17328769085352014,0.19058644081787218,0.14181477865429032,-0.1294318750595126,0.014911793819951854,0.02888885884976575,-0.5612524816644989,0.15039366203781102,0.162563986722691,0.6527777777777778,47.0,25.0,0.047628718823294953,-0.04659602518633317,0.121547450200908,-0.2784584436975722,0.8815327668910116,1.3822436606311783,0.6223107784144776,-0.09065800778404144,-0.10718396174143573,-0.11268599276405869,-0.1294318750595126,-0.07558404990967359,260871771.08086053,-0.08386905660726804,0.9966772239705427,0.8937701460111784,0.16856830723670121,0.0854847229019268,0.6667734990305545,0.16159465390513697,1.165041000648319,0.9715206785746888
Equal weight (1/N),72.0,1.7019728071939966,0.18017613692907175,0.19359329403858944,0.14003965572665528,-0.11412414364527458,0.015443778235544723,0.022584115729131087,-0.3770873199563675,0.09888146435791345,0.44134167865643703,0.7083333333333334,51.0,21.0,0.04406068192641427,-0.05405441644228133,0.12013052692006071,-0.21298494853482364,0.9008163550254031,1.451687676432571,0.8459571353212898,-0.09270537741396791,-0.10290589079939405,-0.10937518877514164,-0.11412414364527458,-0.07647980462395922,270197280.71939963,-0.08220938857073029,1.0678198643612589,0.9426945495585003,0.16331594055662177,0.06562548375374094,0.9658254258045963,0.1648903803520807,1.1973971298513826,0.9893834906956305
MV optimised (ex-ante 2014-16),72.0,1.9437830520575057,0.1971566071981785,0.174058096961466,0.12436753736503965,-0.13219231225300324,0.016367170561179187,0.026904428212595533,-0.7363519595236502,0.6248021180539469,0.030395726483309394,0.7083333333333334,51.0,21.0,0.04232511149733699,-0.04667354314091835,0.10981538604067302,-0.2522503961117589,1.065579347577711,1.6889501561477207,0.7815908725504191,-0.0748057615630939,-0.10527844192602491,-0.11015351151142852,-0.13219231225300324,-0.06628054705664058,294378305.2057506,-0.07565248405450323,0.7782557717582033,0.7641725429696477,0.23831845536051038,0.11849347545463382,0.628418302459295,0.19304975340277297,1.0126301495157375,0.6336618251621726
MV optimised (perfect foresight),72.0,2.4369867139992114,0.2284655317229678,0.15886411567749018,0.09869975409220592,-0.09553008779690501,0.018336023186162828,0.02860955971015074,-0.6831073552330652,-0.20459609802428602,0.06109188746948172,0.6805555555555556,49.0,23.0,0.044693229198266946,-0.037816285274406815,0.09189957158800989,-0.1934400239526114,1.316212563226752,2.275298364153655,1.1810664983113157,-0.07183595341124796,-0.08628905099038246,-0.09488037041948211,-0.09553008779690501,-0.057097161487944026,343698671.3999211,-0.06578960005756446,0.7991772129060122,0.8597666453399003,0.26164277650045037,0.08809127743330265,1.113500712619071,0.2358850655625429,1.0925231555266477,0.6185248499271047
NASDAQ-100 (QQQ),72.0,1.347438778158165,0.15283117558220027,0.2020847295725495,0.1497372430373142,-0.1359573600909311,0.01360814381273031,0.02204175513539995,-0.3852462574980453,-0.03879888070658044,0.4170421282196043,0.6527777777777778,47.0,25.0,0.047887314915885236,-0.05083669786120096,0.12858918870779348,-0.32577004787249164,0.7539629181369231,1.184892711047923,0.4691382052472157,-0.0881939763020406,-0.10513199217893573,-0.1142299125554903,-0.1359573600909311,-0.08234741330382883,234743877.8158165,-0.08861887981320873,1.099526179058189,0.9298981561083971,0.13857277372871626,0.07625166686458498,0.5423507369322037,0.13979190011049272,1.17672279439662,1.0808375805479435
S&P 500 (SPY),72.0,0.8996457501512085,0.11287256652154176,0.17090836124351425,0.1269833788292464,-0.1248713398242401,0.010161881503037262,0.0183248154794044,-0.4764359481550858,0.3528336216049035,0.24741415687988078,0.7083333333333334,51.0,21.0,0.03545308252835804,-0.05125960670131321,0.11318204848760015,-0.2392718921796213,0.6495249494841581,0.9808025759073942,0.47173349737548104,-0.08484932139338056,-0.09828370469248356,-0.10184929790583559,-0.1248713398242401,-0.07099025232562003,189964575.01512086,-0.07711032939859898,1.0,1.0,0.11100924470311384,0.0,,0.12194257803644716,1.0,1.0
60/40 (SPY/AGG),72.0,0.5186434135012659,0.07211811756257314,0.11057043519039284,0.08306626656046524,-0.07703007212281718,0.006324961542589792,0.011260952809240539,-0.5017659689314453,0.5576349157139036,0.17639489615121504,0.7222222222222222,52.0,20.0,0.022119243497118975,-0.034740171539186085,0.07422364969752669,-0.2004603853558985,0.5875549378627108,0.8752763498223531,0.3597624410156362,-0.04975688606971577,-0.06816266532702095,-0.07349250338602772,-0.07703007212281718,-0.046177014889555966,151864341.3501266,-0.050219491044081674,0.6384195198587541,0.9868029707674626,0.10176099438832555,0.0643385165697897,-0.7156372571230415,0.1113513849039841,0.6328991831765449,0.634903111892355
