,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB
2017-01,0.0403922908000931,0.0350052629743706,0.0981636831579693,0.0601132289805481,0.0771380817197897,0.2503905429525579,0.1011161647597087,0.0356604140663807,0.0239833007081566,0.0762083143309249,-0.0028587973320588
2017-02,-0.0043634986623716,0.0301637420600369,0.0261815495357073,0.0652565622604395,-0.0178823241824027,0.045596491109467,0.0261294975081529,0.0669619918274966,0.0836061612540419,0.0957468161204679,-0.0341411866892162
2017-03,0.0293842929900145,0.0033967282384201,0.0491101206308208,0.0105754052271702,0.0646154603651161,0.0193548242006844,0.0305092683001497,-0.0200762210967563,-0.0535609523118346,0.0439274524618851,-0.0281238190151557
2017-04,0.0394772728923553,0.0904931311716297,0.0433708715886678,0.0264429265762156,0.0432851743593749,0.083333348654121,0.0105326029917824,0.0404301288225921,0.0586197257914926,0.0309544017925922,-0.0705505755657824
2017-05,0.0260054713665993,0.0676781700526552,0.0752764613149639,0.0458120421372278,0.0607772566373843,-0.0405712174072051,0.0135929750929622,0.0664800764185056,0.0605416793924638,0.0430629952193342,-0.0344400240528637
2017-06,-0.0130298799985583,-0.058160663972348,-0.0267639398764241,-0.0152263761061052,-0.0268701114515019,-0.0216509020663803,0.0204133702374789,-0.0092619805276177,-0.113617593376385,-0.0682690247131337,-0.0538868712305852
2017-07,0.0546935298926496,0.0170164908417926,0.0204338508658337,0.0616336465530924,0.0502607586838406,0.0019018142085354,0.0189555537198744,0.0425313964114955,-0.0088785791001857,0.0972141925063625,0.0419196210117016
2017-08,0.0339522524303346,0.0103014238192278,-0.0072688485312847,0.0414493568538127,0.0438647221210057,0.1760712948092986,-0.0012951417257267,0.0370136324466172,-0.0080049826057242,0.0039721176733638,-0.0741982118365821
2017-09,-0.0037445394000381,0.0193459960235204,-0.0196307920690396,0.0166152718227219,-0.0472023384650402,-0.0257262942628361,0.086248871854941,-0.0263106135614706,0.0481687878916574,0.1754534005298789,0.1071259703790863
2017-10,0.1166600208357198,0.060921138086448,0.1497165176249049,0.0450398952006669,0.0385391264601706,0.0300702548523945,0.1268725264290351,0.058137642100511,-0.0195386749891551,0.0335999002617184,-0.0825689694165167
2017-11,0.0169834432142386,0.0030297464730384,0.0646623767888814,0.0255455135257614,0.0062932749833337,0.1210585195605677,-0.0342936145574029,0.0256058345578109,0.1483564599824474,-0.0466322521879742,-0.0179687239714113
2017-12,0.0162768256190726,0.0166284626009458,-0.0061865684018398,0.0127011450355876,-0.0242631333348717,-0.0501673549892407,0.016935872492789,-0.0117050431162346,0.0091634211453561,-0.0455230248080682,0.080599401326997
2018-01,0.1107083201995529,0.1222897303030614,0.2406389754181057,0.0895455661430792,0.0043467874676397,0.0647626705530568,0.0047873962062969,0.0142769734172687,0.0470125716655336,-0.1274534160659048,0.0918533128252985
2018-02,-0.0084150274636805,-0.0662312416150685,0.0424290636020012,-0.0086610962335045,-0.1335420922029052,-0.0198589767154342,-0.079485044942314,-0.0327072812889953,-0.0177508928772852,-0.1000091533517878,-0.1016140853398794
2018-03,-0.0266610841566916,-0.0604935418919063,-0.0430493688856892,-0.0270050462231834,0.0664115790423105,0.0368388615221397,-0.0365044119699106,0.073480505903013,-0.0129388305489878,-0.0735610626077897,-0.0131018247444294
2018-04,0.0246517766180125,-0.0178952571223316,0.0820747964716301,0.0606922890981844,0.0063378000385176,0.0190762277480667,-0.0555111221150783,0.0035512810609401,0.0463304131542867,0.0455035171173863,0.0583514175297417
2018-05,0.0614675072043042,0.0799346954937472,0.0405394108803862,0.0319202120844588,-0.0513293373360157,0.1307849293747554,0.0716666118517712,0.0115912901883947,0.0084099237307693,-0.0359941279557486,0.0016043659106927
2018-06,-0.0023267848179776,0.0265364055928976,0.0430651923177398,0.0132345860176472,0.0832558854910772,0.025143139956689,-0.0523348941387539,0.0142614138401415,0.0541766078042631,0.0128033515818366,-0.0167645109304844
2018-07,0.0757529485504173,0.0868144732459856,0.0456760075509372,0.0323898179995945,0.0218425800109287,0.1613734561227429,0.1283165826584646,0.0030535833482334,0.0465591242931644,-0.0013783578880564,0.0073099647879608
2018-08,0.0629927891744672,0.003731927416138,0.1323644812853974,0.075842972836968,-0.0019793660056451,0.0939388244642951,-0.0301163209785227,0.0219306936469825,0.0685783977724245,0.0140126669808136,-0.0645733618356747
2018-09,0.0181609132442026,-0.0200681199199527,-0.0048243068342539,0.0217849964324035,-0.0074289715782522,0.0344671915945522,0.036250963582056,-0.0146974047417318,0.0075066638154421,0.0481286712086437,-0.0277690297540358
2018-10,-0.0661014860947296,-0.0965139796055203,-0.2021917501830787,-0.0815512266434234,-0.1250897196368571,-0.1523183845494817,-0.1215338374615726,0.0292360638125388,-0.0266095257125985,-0.005612449482816,-0.1577475151032054
2018-11,0.042683857568347,0.0174860108243373,0.0576717524524197,0.0298473801072105,0.0232591992790085,0.0846858326498998,0.0641053585343582,0.0600001715773534,0.0139956248828756,-0.029227946687695,-0.1210294164166384
2018-12,-0.0840472311891592,-0.0582975781753327,-0.1113497000640443,-0.0689436610604055,-0.084925471290325,-0.1113185127649929,-0.1368589137792238,-0.043421102149613,-0.1192062858769416,-0.1968240264498458,-0.1912660635763047
2019-01,0.0281578337274539,0.0774479182817884,0.1443170900523207,0.0232678968697435,0.1175401241868363,-0.0671490725036517,0.1265280294031501,0.0296858490183911,0.0536057261831111,0.0474893249120149,0.2253320846376272
2019-02,0.0773578570582087,0.0005862905765754,-0.0459059848796181,0.0990188523299888,0.0810727608594121,0.1178741757809267,0.059150942881168,0.055843602949597,0.0219016150261284,0.1308067126156835,0.0081447501563378
2019-03,0.0527533134253603,0.0446850893354018,0.0859357073135327,0.0544826422681719,0.0700353847461781,-0.0066502529264683,-0.0173609723148205,0.029831851354948,0.1069766127994675,-0.0981330957810955,-0.011121247541424
2019-04,0.1073431864657314,0.0187528547786837,0.0818587454691699,0.0527564560658484,0.0033984382472675,0.004216432849543,0.0299211588391654,0.0057936327565109,0.0140000412754333,-0.0844112687004527,-0.0204268623273449
2019-05,-0.049481006585819,-0.0771169539277619,-0.0786131967477928,-0.0173439762463465,0.073877035072313,-0.0163140794630388,-0.1715492997269946,0.0258346272435172,-0.0215982155565349,-0.1566744927144058,-0.1872070474119699
2019-06,0.0831177230290463,-0.0214187969596353,0.0667917465500809,0.0757456874916135,0.038082268506806,0.19953723361954,0.1006382058362014,0.0335501746170916,0.1030135796016644,0.118022903747563,0.1619451884615708
2019-07,0.0172437323641234,0.1250461428225653,-0.0141791834936947,0.0256408716467908,-0.0043428995598966,-0.1867988472052738,-0.0186170470646909,0.0112760399850728,0.0430261556832691,0.0362161794871915,0.0057875798056099
2019-08,0.0150372393535935,-0.0227138677175895,-0.048473822697145,0.017308346302056,0.1128330332557945,-0.0602578906185897,-0.0437642048947907,0.0634230355333809,0.071770358310268,-0.1539200214421938,-0.1886417517305643
2019-09,0.0084867613619141,0.0257112363439868,-0.0227327431597064,-0.0487225433039733,0.0368876949172438,0.081325075834796,0.0786048397902017,0.063492970827623,-0.0225611374200132,0.1322110868657842,0.0701535746539812
2019-10,0.0312161272975186,0.0308401859761273,0.0234747012691118,0.0398233980953708,-0.0173715158857136,-0.0285976512710938,0.0436285262712132,0.0229623912764831,0.0334785499886061,-0.1262941878809862,-0.0433128497070502
2019-11,0.0594627723603367,0.035978610677247,0.0135873012274039,0.0333167414940711,0.0045505019400398,0.0854087392530067,0.1452315103044235,-0.0137167300740067,0.0090878366750941,0.0763907998336068,0.1073723172889349
2019-12,0.0417490368038961,0.0270685947144067,0.026121694264473,0.0183731097684751,0.029725490315313,0.0342312165401503,0.0348754081319557,0.0356686335444731,-0.0196457766276986,0.1234569322987924,0.1259809012011215
2020-01,0.0794546365180051,0.0697258546032348,0.0870638027865227,0.058914339184972,0.0103308191215525,-0.1256104616689366,-0.0543248513574898,0.1075319895871056,0.0394666179976501,0.0991235495140325,-0.1664177310533823
2020-02,-0.0456882828119612,-0.065278715061032,-0.0622137201336305,-0.0851723228133141,-0.0246851543515513,-0.0841176441323183,-0.0376953973465129,-0.0526467845766649,-0.0778585515674182,0.0195568564880037,-0.1796434469486511
2020-03,-0.0265415015206943,-0.1323875262851898,0.0350205713182232,-0.113556440151499,0.0903805326732276,0.0280423836492544,-0.1776023980607707,-0.0480300336588735,0.0141921086882352,-0.3074963726495502,-0.502030146897557
2020-04,0.136326309380236,0.1590000590220581,0.2689001176660717,0.1092355086660448,0.0810637427364711,0.1680945407521601,0.2555828491095899,-0.0394813870196115,0.0651009979524668,0.0897642192367087,0.2468492554910124
2020-05,0.0253912388898396,0.0644686278100474,-0.0127849412400917,0.0942638529742336,0.0373856131792489,0.1379807686634473,0.1469310673827644,0.1057461370208783,0.0180530049232863,0.2456450937399257,0.0980973688339479
2020-06,0.110559182726267,-0.010791714561115,0.1295667285339112,-0.0106023636552701,0.0066940886281847,0.0201074194235506,-0.0146188470546956,-0.055044194081842,-0.0170521132561322,0.0136709940334958,0.0024679584393996
2020-07,0.0073703836695129,0.049293231939989,0.1471136218500213,-0.0143396136136491,0.1184394649571884,0.0318887977605584,0.0241314328986042,0.1687557126394305,0.0759218768938745,0.0679968649387483,-0.0135945649879902
2020-08,0.1027521799262762,0.0951509882034677,0.090461033692982,0.1150763271089354,0.0089503615471442,-0.0652606535005109,0.0614255083355559,-0.0004351806929829,0.0679814046614406,0.1036865855988888,0.0479603580367229
2020-09,-0.0673966422750504,-0.1005995507974408,-0.0875785918526055,-0.0567008881616205,-0.037541863193048,-0.1347629016346551,-0.0427278191106832,-0.0057668982986957,0.0211127119477105,-0.0151320232039473,-0.1760656477977896
2020-10,-0.0373700655874734,0.1026949533093515,-0.0357540853352055,-0.0913136845442192,-0.0380068331544705,-0.0529959424791224,0.074497153810046,0.055051078572984,0.0093159443961341,0.0440186227960948,-0.0398457765548045
2020-11,0.0600606439074704,0.0855698098930231,0.0434398688653248,0.1593579387854964,-0.0423708446034886,0.1004099162321789,0.0826944375479163,0.0099048276645179,0.0954923157426901,0.4587495662379295,0.3915661901568732
2020-12,0.0390057260937768,-0.0010031079499288,0.0280583830144842,0.0398384079591769,0.0234883788144202,0.1487472940626437,-0.0185863998106832,0.048376044213112,-0.0130706569517488,0.0878830560937973,0.0563755646076096
2021-01,0.0428919473153348,0.0426326473753349,-0.0155760122365283,-0.1164908334381717,0.03609783795954,0.1525405017665866,-0.0090905263582096,0.0482175390487653,-0.064626609255337,0.1026299982109755,0.0174073470476465
2021-02,0.004118167243424,0.1064651973749775,-0.0353284137674236,0.1007490633009133,-0.120033348230222,0.0304145918827818,-0.0168628927279053,-0.0866132348898948,-0.0589519819245102,-0.0335052603422788,0.2625363493106767
2021-03,0.0145879815369818,0.0200849301353513,0.0003717841485171,-0.0031074960144268,0.048200192906308,-0.1259643533134514,0.0910884781485055,0.0289870530591254,0.0648946050458452,-0.0682203245107343,-0.0257970682696021
2021-04,0.069601731506341,0.1410797942130268,0.1206627370956834,0.1031030299815491,0.0605804737055117,0.022861030612479,-0.0044453583729662,0.0251289226306881,0.0578954030737901,0.150982528749421,-0.0051490612883932
2021-05,-0.0076273484459696,0.0014233076571072,-0.0704702552586937,-0.0253889422844104,0.0262625887399519,0.0325832221553707,0.0019913111923253,-0.0553477948759963,0.0166087503382679,-0.0064816299934357,0.1582254925173669
2021-06,0.084988840735569,0.0360398226215754,0.0673549873709398,0.0286846837454644,0.0894235253404283,0.1665763081312163,0.0845595330527264,0.0061098151572898,0.0459991440194886,0.0105198782580602,0.0257970364024293
2021-07,0.0517162347834303,0.1035060505180192,-0.0327222827222827,0.0537591000876009,0.022190132043506,0.0476320985184171,0.0748198256582837,0.0630458491626844,0.088092306141789,0.2230794163945066,-0.0993437689905131
2021-08,0.0615912880622702,0.0740090760425931,0.0430341694999938,-0.0689055624012403,0.0316815219672643,-0.0778416546683919,0.0622326573924019,0.0831103681544738,0.0599693200961612,0.1490001123866604,-0.0230839220976507
2021-09,-0.0661189295438983,-0.0761693090103171,-0.0535181087629258,-0.027717258539979,-0.0632164484144411,-0.1127613770250292,-0.096512549121442,-0.0651267571355351,-0.0134798827953085,-0.0735169578620004,0.0570612222441722
2021-10,0.176291037079542,0.1074988570395423,0.0266024575966432,-0.0492930155723414,0.0594080537573953,0.0232982154249017,0.0862468059352936,0.0867294558419777,0.0956605499899345,0.1438552870529141,0.088393933706891
2021-11,-0.0012819983976695,-0.0415310657117253,0.039923701306487,-0.0833870030176031,-0.026207818533987,-0.1198140109184724,0.0561868406393426,0.0214971237658219,0.097327043089288,0.0639596713798864,-0.1072092347739699
2021-12,0.0173325963360706,0.0208215556683102,-0.0492519687882848,0.1183876890650534,0.0414182643229252,0.041359902399908,0.0376266499274129,0.075823943013966,0.0525044097009128,-0.1213523174201565,0.0442816716038565
2022-01,-0.0753447342333329,-0.0659190601923463,-0.1028299102184566,0.0436528949045293,-0.1429822579581798,-0.0831142989318619,-0.170932975561227,-0.1632392342327655,-0.11021664679975,-0.055738438795132,0.3045075223070794
2022-02,-0.0372121680366547,-0.0018218714225023,0.0266725182655884,-0.0428809278764745,-0.0209269507590903,-0.0637004491578997,-0.0745421647266665,0.0074694843630611,0.0295111570962793,-0.1125758460029103,0.0074785025322972
2022-03,0.0318617430110093,0.0296949802588557,0.0614372850300157,0.0261429917804381,0.0494459677863818,0.0698101557518566,0.0504535926558138,0.0822790656038763,0.1090036071702229,0.1312865219303163,0.052752300217598
2022-04,-0.0998669501645049,-0.179467023045833,-0.2375250931362105,-0.038959211917014,-0.0303930310862525,-0.1509731043309887,-0.0977036876717905,-0.1616100428671061,-0.0751324273308158,-0.1280580028868601,-0.0556770056606442
2022-05,-0.0180771794847258,-0.0030452406361346,-0.0327643176031664,-0.0026030573182259,-0.0398829154298686,-0.1927186868083854,-0.1515495537485569,0.0718267229236908,-0.123185125570179,0.3505160709945298,0.1824518184160481
2022-06,-0.055320549537027,-0.0421844992085564,-0.1164592126224128,-0.0720177497450295,-0.0437642327970896,-0.2301653826077974,-0.0651501426192162,0.0233848391111488,0.0280125826363659,-0.1962753813169757,-0.2219319865237562
2022-07,0.0930966398696431,0.0675182443080797,0.2705959712975005,0.0773019311137503,0.0711087105356811,0.1753092304185548,0.280819053182725,0.0907563913300506,0.1313520933645147,0.1690591783229564,0.0355145311921754
2022-08,-0.0666631313312324,-0.069635376240133,-0.0606150462405203,-0.061515432715358,-0.0618218263078832,-0.0694111388077266,-0.0677143661107132,0.0116287495955371,-0.0354704060118911,0.0968030965616548,0.0302459549101721
2022-09,-0.1092668304909648,-0.1161523448890962,-0.1086218900978376,-0.1059835996959258,-0.13467301725632,-0.0538087644827832,-0.0921329617771041,-0.0781799868348354,-0.0954413631512716,-0.0118649324635912,-0.0546323880383158
2022-10,-0.0033060729452388,-0.0119183911926156,-0.0934513058282632,0.1661131633121217,-0.0042191102965658,0.1993291484174033,0.1868344892081537,-0.011605781992255,0.0638094459978708,0.0583496618952161,0.4493037444584205
2022-11,0.1022228034572001,0.0685640550815609,-0.0575947030970991,0.0498408805267971,0.2252264685648319,-0.0469364931532466,0.0397804117502504,0.0984537078119203,0.0752740720701856,-0.0067171888577255,-0.009225516172983
2022-12,-0.0600453597977465,-0.1263490123978163,-0.1298943525647971,-0.0425806405017992,-0.0515747350014272,-0.0728172832949189,-0.0251683858021406,-0.0129872434255843,-0.1534537713110084,-0.2186549068704795,0.0405958757622719
