year,NDIF,NDIF (buy & hold),Equal weight (1/N),MV optimised (ex-ante 2014-16),MV optimised (perfect foresight),NASDAQ-100 (QQQ),S&P 500 (SPY),60/40 (SPY/AGG)
2017,0.4001633157300497,0.40153941379098734,0.3723180794253065,0.351936254030365,0.36498020432250344,0.3266354758858945,0.217054090281791,0.1414424916689363
2018,0.03678679191055245,0.06777398203263973,-0.016148889478430073,0.028824049628174198,0.1531040907083152,-0.0012620076713758532,-0.045690160725697315,-0.023312712864064555
2019,0.36641825256724525,0.3594366026216862,0.34146499189684243,0.4993266325565022,0.469427311536347,0.38961500583990083,0.31223879602812055,0.21931471049836637
2020,0.37097439183682934,0.36528187528695066,0.34705457920889593,0.339901338470578,0.3239250130525506,0.48406098553343724,0.18331624110147327,0.14655378181859424
2021,0.3251301653953449,0.30166672868213107,0.32638541656463094,0.32265070544623375,0.3141936112380126,0.2741976855276711,0.28728766961926855,0.15767565261892358
2022,-0.2253401102425595,-0.2784584436975722,-0.1650460288156702,-0.2034844949195077,-0.14589327610005565,-0.32577004787249164,-0.18175373711458964,-0.15831595220284944
